work_id,Title,Pubtype,Venue,Kind,Subtype,Translation,Language,Year,Month,मूळ,नोंदी,Other,Link,
NFRAMB06,भारतीय तत्वचिंतनाचा वेध : वेद ते वेड?,Online Magazine,मायबोली,लेख,बुद्धिप्रामाण्यवाद,,Marathi,2006,दिवाळी,,,,https://www.maayboli.com/hitguj/messages/118369/118185.html?1161387673,Y
SFB0118156,"समाधी योग, सकर्मक यंत्र की स्टॅटिस्टिकल यक्ष?",Online Magazine,मायबोली,कथा,विज्ञानकथा,,Marathi,2008,दिवाळी,,*,,https://vishesh.maayboli.com/diwali-2008/30,Y
SFB0118156,"समाधी योग, सकर्मक यंत्र की स्टॅटिस्टिकल यक्ष?",Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,,*,,none,
NFSCMB09,शिकायचंय खगोलशास्त्राबद्दल? (महाराष्ट्रातून अवकाशशास्त्र),Online Magazine,मायबोली,लेख,विज्ञान,,Marathi,2009,दिवाळी,,,,,
NFARUP10,माझे संगीताचे प्रयोग,Online Magazine,उपक्रम,लेख,कला,,Marathi,2010,दिवाळी,,,,,
NFSCMB10,नैसर्गिक भरार्‍या,Online Magazine,मायबोली,लेख,विज्ञान,,Marathi,2010,दिवाळी,,,,,
NFSOUP11,स्वार्थातून परमार्थ,Online Magazine,उपक्रम,लेख,सामाजिक,,Marathi,2011,दिवाळी,,*,,http://diwali.upakram.org/node/154,Y
NFSCMB11,"नाती, खगोलशास्त्रीय",Online Magazine,मायबोली,लेख,विज्ञान,,Marathi,2011,दिवाळी,,*,,,
NFLAUP12,ओध्येमठाची निर्मिती आणि मराठी बाण,Online Magazine,उपक्रम,लेख,भाषा,,Marathi,2012,दिवाळी,,विलोमपदे; संस्कृत; माघ *,,http://diwali.upakram.org/node/191,Y
NFTRMM13,माझी काश्मीरी तिर्थयात्रा,Online Magazine,MMLA,लेख,प्रवास,,Marathi,2013,दिवाळी,,*,,https://cdn.wildapricot.com/76285/Resources/Documents/DiwaliAnk2013.pdf?version=1386897509000&Policy=eyJTdGF0ZW1lbnQiOiBbeyJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLndpbGRhcHJpY290LmNvbS83NjI4NS9SZXNvdXJjZXMvRG9jdW1lbnRzL0Rpd2FsaUFuazIwMTMucGRmP3ZlcnNpb249MTM4Njg5NzUwOTAwMCIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc2NjkwNzQ0N30sIklwQWRkcmVzcyI6eyJBV1M6U291cmNlSXAiOiIwLjAuMC4wLzAifX19XX0_&Signature=jgJiL82Qa8rAnYhKdTkOS4psniNdC5ek4L8EwdgKf-3psM1fcXsMZi7voRrYNlmqzpgBS6ldaELwnuuiZIzIXtZIInrAXEtKMnF94Uxi-aolCEPQfBLaEiu3HBTrSEqLLlsZr7O~hDInjdsZyCMYqRJTFm9C82-uY5pajKg~Tbr5xbEaq2slAMoI7GA~MROTso-ENzfUhZQ5OjnkrF8yEYaGBKeQ0-iV-TxkL-rBcc8Vu9S7~2nt84VM3BRYjT9~kWeZK4cmtwFCzE8jjmUUtIUjjfrXVlqw60hcfucbAipuX0Kog2m00dimMFDxYuQKLQ~cFTSBlOVivvkZL2MMtQ__&Key-Pair-Id=K27MGQSHTHAGGF,Y
NFSCMB13,नोबल ईज ही हू नोबल डज,Online Magazine,मायबोली,लेख,विज्ञान,,Marathi,2013,दिवाळी,,*,,,
SFB0117150,कृष्णलीला,Magazine,मविप,कथा,विज्ञानकथा,,Marathi,2013,दिवाळी,LAMAL Feb 2010 (खाद्य),"*, pdf",,,
SFB0117150,कृष्णलीला,Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,LAMAL Feb 2010 (खाद्य),"*, pdf",,,
SFB0117150,कृष्णलीला,Anthology,विज्ञानिनी भाग २,कथा,विज्ञानकथा,,Marathi,2014,,LAMAL Feb 2010 (खाद्य),"*, pdf",,,
NFTRMM14,लॉस एंजेलिसचा शिरोमणी,Online Magazine,MMLA,लेख,प्रवास,,Marathi,2014,दिवाळी,-,"ग्रिफीथ, खगोलशास्त्र",,,
NFSCMVP1405,विश्वजन्म पाहिला म्या डोळा,Magazine,मविप,लेख,विज्ञान,,Marathi,2014,मे,LAMAL 2014,"Bicep2, GW waves, pdf",,,
NFSCMB14,शोध बदलांचा,Online Magazine,मायबोली,लेख,विज्ञान,,Marathi,2014,दिवाळी,-,"खगोलशास्त्र, transients",,https://vishesh.maayboli.com/diwali-2014/1559,Y
SFB0114133,पुनरागमनायच,Magazine,आरती,कथा,विज्ञानकथा,,Marathi,2014,May-June,LAMAL March 2007 (प्रवास),,,none,
SFB0114133,पुनरागमनायच,Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,LAMAL March 2007 (प्रवास),,,none,
SFB0116145,कुपमंडूक,Online Magazine,ऐसी अक्षरे,कथा,विज्ञानकथा,,Marathi,2014,दिवाळी,LAMAL August 2014; कट्टा C17 (हॉरर),,,https://aisiakshare.com/node/3374,Y
SFB0116145,कुपमंडूक,Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,LAMAL August 2014; कट्टा C17 (हॉरर),,,none,
SFB0109089,रक्त तबकड्या,Magazine,मविप,कथा,विज्ञानकथा,,Marathi,2014,दिवाळी,"कट्टा C13, C16 Feb 2014 (लाल)","*, pdf",,none,
SFB0109089,रक्त तबकड्या,Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,"कट्टा C13, C16 Feb 2014 (लाल)","*, pdf",,none,
SFB0109089,रक्त तबकड्या,Anthology,मन्वंतर,कथा,विज्ञानकथा,,Marathi,2015,,"कट्टा C13, C16 Feb 2014 (लाल)","*, pdf",,none,
NFTRMM15,असामी,Online Magazine,MMLA,लेख,प्रवास,,Marathi,2015,दिवाळी,,असाम,,none,
SFB0112119,घोस्ट रायटर,Magazine,धनंजय,कथा,विज्ञानकथा,,Marathi,2015,दिवाळी,"कट्टा C20,C21 (भूत, एकांकिका)",,,none,
SFB0112119,घोस्ट रायटर,Book,घोस्ट रायटर आणि इतर विज्ञानकथा,कथा,विज्ञानकथा,,Marathi,2023,,"कट्टा C20,C21 (भूत, एकांकिका)",,,none,
